Study,Year,PMID,experimental_events,experimental_total,control_events,control_total,depression,IBS.subtype
Staudacher,2012,22739368,6,19,17,22,NA,IBS-D
Pedersen,2014,17852871,,44,,45,NA,Other
Pedersen,2014,25473176,,34,,37,NA,Other
Halmos,2013,24076059,,23,,27,NA,Other
Halmos,2015,24076059,,30,,8,NA,Other
Bohn,2014,0,,32,,33,NA,Other
Bohn,2015,26255043,,,,,NA,Other
Eswaran,2016,27725652,27,50,26,42,NA,IBS-D
Laatikainen,2016,27417338,,,,,NA,Other
Staudacher,2017,0,22,51,33,53,NA,IBS-D
